Station,year,Recording,PeopleCount
Acton Town,2007,Entry Weekday,9205
Acton Town,2007,Entry Saturday,6722
Acton Town,2007,Entry Sunday,4427
Acton Town,2007,Exit Weekday,8899
Acton Town,2007,Exit Saturday,6320
Acton Town,2007,Exit Sunday,4304
Acton Town,2007,Annual Entry + Exit,5773625
Aldgate,2007,Entry Weekday,9887
Aldgate,2007,Entry Saturday,2191
Aldgate,2007,Entry Sunday,1484
Aldgate,2007,Exit Weekday,10397
Aldgate,2007,Exit Saturday,2587
Aldgate,2007,Exit Sunday,1772
Aldgate,2007,Annual Entry + Exit,5572412
Aldgate East,2007,Entry Weekday,12820
Aldgate East,2007,Entry Saturday,7040
Aldgate East,2007,Entry Sunday,5505
Aldgate East,2007,Exit Weekday,12271
Aldgate East,2007,Exit Saturday,6220
Aldgate East,2007,Exit Sunday,5000
Aldgate East,2007,Annual Entry + Exit,7657338
Alperton,2007,Entry Weekday,4611
Alperton,2007,Entry Saturday,3354
Alperton,2007,Entry Sunday,2433
Alperton,2007,Exit Weekday,4719
Alperton,2007,Exit Saturday,3450
Alperton,2007,Exit Sunday,2503
Alperton,2007,Annual Entry + Exit,3005522
Amersham,2007,Entry Weekday,4182
Amersham,2007,Entry Saturday,1709
Amersham,2007,Entry Sunday,1004
Amersham,2007,Exit Weekday,3938
Amersham,2007,Exit Saturday,1585
Amersham,2007,Exit Sunday,957
Amersham,2007,Annual Entry + Exit,2341347
Angel,2007,Entry Weekday,25812
Angel,2007,Entry Saturday,21332
Angel,2007,Entry Sunday,12051
Angel,2007,Exit Weekday,25367
Angel,2007,Exit Saturday,22245
Angel,2007,Exit Sunday,11876
Angel,2007,Annual Entry + Exit,16625984
Archway,2007,Entry Weekday,12752
Archway,2007,Entry Saturday,8814
Archway,2007,Entry Sunday,5608
Archway,2007,Exit Weekday,12092
Archway,2007,Exit Saturday,7089
Archway,2007,Exit Sunday,5001
Archway,2007,Annual Entry + Exit,7738419
Arnos Grove,2007,Entry Weekday,6844
Arnos Grove,2007,Entry Saturday,5734
Arnos Grove,2007,Entry Sunday,3375
Arnos Grove,2007,Exit Weekday,6392
Arnos Grove,2007,Exit Saturday,5449
Arnos Grove,2007,Exit Sunday,3138
Arnos Grove,2007,Annual Entry + Exit,4314491
Arsenal,2007,Entry Weekday,4243
Arsenal,2007,Entry Saturday,4085
Arsenal,2007,Entry Sunday,2255
Arsenal,2007,Exit Weekday,3752
Arsenal,2007,Exit Saturday,4439
Arsenal,2007,Exit Sunday,2301
Arsenal,2007,Annual Entry + Exit,2734787
Baker Street,2007,Entry Weekday,38663
Baker Street,2007,Entry Saturday,25555
Baker Street,2007,Entry Sunday,17573
Baker Street,2007,Exit Weekday,37818
Baker Street,2007,Exit Saturday,24929
Baker Street,2007,Exit Sunday,16919
Baker Street,2007,Annual Entry + Exit,24009889
Balham,2007,Entry Weekday,17607
Balham,2007,Entry Saturday,13470
Balham,2007,Entry Sunday,8116
Balham,2007,Exit Weekday,17957
Balham,2007,Exit Saturday,12687
Balham,2007,Exit Sunday,8472
Balham,2007,Annual Entry + Exit,11336548
Bank & Monument,2007,Entry Weekday,76119
Bank & Monument,2007,Entry Saturday,14880
Bank & Monument,2007,Entry Sunday,8593
Bank & Monument,2007,Exit Weekday,78854
Bank & Monument,2007,Exit Saturday,16752
Bank & Monument,2007,Exit Sunday,8861
Bank & Monument,2007,Annual Entry + Exit,41882819
Barbican,2007,Entry Weekday,16960
Barbican,2007,Entry Saturday,5535
Barbican,2007,Entry Sunday,3481
Barbican,2007,Exit Weekday,16968
Barbican,2007,Exit Saturday,5449
Barbican,2007,Exit Sunday,3363
Barbican,2007,Annual Entry + Exit,9558748
Barking,2007,Entry Weekday,20672
Barking,2007,Entry Saturday,13856
Barking,2007,Entry Sunday,9344
Barking,2007,Exit Weekday,19993
Barking,2007,Exit Saturday,13352
Barking,2007,Exit Sunday,9042
Barking,2007,Annual Entry + Exit,12787835
Barkingside,2007,Entry Weekday,1479
Barkingside,2007,Entry Saturday,597
Barkingside,2007,Entry Sunday,388
Barkingside,2007,Exit Weekday,1485
Barkingside,2007,Exit Saturday,629
Barkingside,2007,Exit Sunday,385
Barkingside,2007,Annual Entry + Exit,859251
Barons Court,2007,Entry Weekday,11860
Barons Court,2007,Entry Saturday,6182
Barons Court,2007,Entry Sunday,4129
Barons Court,2007,Exit Weekday,10502
Barons Court,2007,Exit Saturday,4804
Barons Court,2007,Exit Sunday,3828
Barons Court,2007,Annual Entry + Exit,6698321
Bayswater,2007,Entry Weekday,8464
Bayswater,2007,Entry Saturday,8995
Bayswater,2007,Entry Sunday,7492
Bayswater,2007,Exit Weekday,8419
Bayswater,2007,Exit Saturday,8720
Bayswater,2007,Exit Sunday,6916
Bayswater,2007,Annual Entry + Exit,6042651
Becontree,2007,Entry Weekday,3812
Becontree,2007,Entry Saturday,3176
Becontree,2007,Entry Sunday,1420
Becontree,2007,Exit Weekday,3429
Becontree,2007,Exit Saturday,3068
Becontree,2007,Exit Sunday,1261
Becontree,2007,Annual Entry + Exit,2314840
Belsize Park,2007,Entry Weekday,9696
Belsize Park,2007,Entry Saturday,5532
Belsize Park,2007,Entry Sunday,3742
Belsize Park,2007,Exit Weekday,8779
Belsize Park,2007,Exit Saturday,4687
Belsize Park,2007,Exit Sunday,3500
Belsize Park,2007,Annual Entry + Exit,5632841
Bermondsey,2007,Entry Weekday,10816
Bermondsey,2007,Entry Saturday,6996
Bermondsey,2007,Entry Sunday,4750
Bermondsey,2007,Exit Weekday,10145
Bermondsey,2007,Exit Saturday,6496
Bermondsey,2007,Exit Sunday,4664
Bermondsey,2007,Annual Entry + Exit,6560143
Bethnal Green,2007,Entry Weekday,23118
Bethnal Green,2007,Entry Saturday,17518
Bethnal Green,2007,Entry Sunday,12003
Bethnal Green,2007,Exit Weekday,20415
Bethnal Green,2007,Exit Saturday,15198
Bethnal Green,2007,Exit Sunday,11392
Bethnal Green,2007,Annual Entry + Exit,14095386
Blackfriars,2007,Entry Weekday,22608
Blackfriars,2007,Entry Saturday,7774
Blackfriars,2007,Entry Sunday,5096
Blackfriars,2007,Exit Weekday,21708
Blackfriars,2007,Exit Saturday,6245
Blackfriars,2007,Exit Sunday,6435
Blackfriars,2007,Annual Entry + Exit,12621265
Blackhorse Road,2007,Entry Weekday,10204
Blackhorse Road,2007,Entry Saturday,7547
Blackhorse Road,2007,Entry Sunday,5003
